school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
Burrillville High School,Burrillville,Fewer than five,30 to 34,0,0,virtual,2021-03-10
Burrillville Middle School,Burrillville,0,20 to 24,0,0,virtual,2021-03-10
Steere Farm Elementary School,Burrillville,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
William L. Callahan School,Burrillville,0,5 to 9,0,0,virtual,2021-03-10
Bishop Hendricken High School,Catholic Schools,0,50 to 54,0,Fewer than five,virtual,2021-03-10
Bishop McVinney Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
Blessed Sacrament School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
Father John V. Doyle School,Catholic Schools,Fewer than five,Fewer than five,Fewer than five,Fewer than five,virtual,2021-03-10
Good Shepherd Catholic Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
Immaculate Conception Catholic Regional,Catholic Schools,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
La Salle Academy,Catholic Schools,0,50 to 54,0,Fewer than five,virtual,2021-03-10
Mount St. Charles Academy,Catholic Schools,Fewer than five,15 to 19,0,0,virtual,2021-03-10
Msgr. Matthew F. Clarke Catholic Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
Our Lady of Mt. Carmel,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
Sacred Heart School,Catholic Schools,0,5 to 9,0,Fewer than five,virtual,2021-03-10
St. Kevin School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Luke School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Margaret School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Mary Academy-Bay View,Catholic Schools,0,5 to 9,0,Fewer than five,virtual,2021-03-10
St. Mary School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Patrick School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Paul School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Peter School,Catholic Schools,0,5 to 9,0,0,virtual,2021-03-10
St. Philip School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Philomena School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Pius V School,Catholic Schools,0,5 to 9,0,0,virtual,2021-03-10
St. Raphael Academy,Catholic Schools,0,10 to 14,0,0,virtual,2021-03-10
St. Rocco School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Rose of Lima School,Catholic Schools,Fewer than five,Fewer than five,0,0,virtual,2021-03-10
St. Teresa School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-03-10
St. Thomas Regional School,Catholic Schools,Fewer than five,Fewer than five,0,0,virtual,2021-03-10
The Prout School,Catholic Schools,Fewer than five,5 to 9,0,0,virtual,2021-03-10
Captain G. Harold Hunt Elementary School,Central Falls,0,Fewer than five,0,0,virtual,2021-03-10
Central Falls Senior High School,Central Falls,0,55 to 59,0,Fewer than five,virtual,2021-03-10
Dr. Earl F. Calcutt Middle School,Central Falls,0,35 to 39,0,Fewer than five,virtual,2021-03-10
Ella Risk School,Central Falls,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Raices Dual Language Academy at Margaret I. Robertson School,Central Falls,0,10 to 14,0,0,virtual,2021-03-10
Veterans Memorial Elementary,Central Falls,0,5 to 9,0,0,virtual,2021-03-10
Charette Charter School,Charette Charter,0,15 to 19,0,0,virtual,2021-03-10
Ashaway Elementary School,Chariho,0,Fewer than five,0,0,virtual,2021-03-10
Chariho Area Career and Technical Center,Chariho,0,Fewer than five,0,0,virtual,2021-03-10
Chariho Regional High School,Chariho,Fewer than five,25 to 29,0,0,virtual,2021-03-10
Chariho Regional Middle School,Chariho,0,5 to 9,0,0,virtual,2021-03-10
Charlestown Elementary School,Chariho,0,5 to 9,0,0,virtual,2021-03-10
Hope Valley Elementary School,Chariho,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Richmond Elementary School,Chariho,0,Fewer than five,0,0,virtual,2021-03-10
Alan Shawn Feinstein Middle School Of Coventry,Coventry,Fewer than five,25 to 29,0,5 to 9,virtual,2021-03-10
Blackrock School,Coventry,0,5 to 9,0,0,virtual,2021-03-10
Coventry High School,Coventry,0,50 to 54,0,5 to 9,virtual,2021-03-10
Hopkins Hill Elementary School,Coventry,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-03-10
Tiogue School,Coventry,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Washington Oak School,Coventry,0,10 to 14,0,0,virtual,2021-03-10
Western Coventry School,Coventry,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Arlington School,Cranston,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Cranston High School East,Cranston,Fewer than five,105 to 109,0,5 to 9,virtual,2021-03-10
Cranston High School West,Cranston,Fewer than five,105 to 109,0,Fewer than five,virtual,2021-03-10
Cranston Transition Program(CTP),Cranston,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Daniel D. Waterman School,Cranston,Fewer than five,10 to 14,0,0,virtual,2021-03-10
Eden Park School,Cranston,0,5 to 9,0,0,virtual,2021-03-10
Edgewood Highland School,Cranston,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Edward S. Rhodes School,Cranston,0,5 to 9,0,0,virtual,2021-03-10
Garden City School,Cranston,0,5 to 9,0,0,virtual,2021-03-10
George J. Peters School,Cranston,Fewer than five,10 to 14,0,0,virtual,2021-03-10
Gladstone Street School,Cranston,0,15 to 19,0,Fewer than five,virtual,2021-03-10
Glen Hills Elementary School,Cranston,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Hope Highlands Middle School,Cranston,0,15 to 19,0,Fewer than five,virtual,2021-03-10
Hugh B. Bain Middle School,Cranston,0,25 to 29,0,5 to 9,virtual,2021-03-10
NEL/CPS Construction Career Academy,Cranston,0,5 to 9,0,0,virtual,2021-03-10
Oak Lawn School,Cranston,0,5 to 9,0,0,virtual,2021-03-10
Orchard Farms Elementary School,Cranston,0,10 to 14,0,0,virtual,2021-03-10
Park View Middle School,Cranston,0,30 to 34,0,Fewer than five,virtual,2021-03-10
Stadium Elementary School,Cranston,0,5 to 9,0,0,virtual,2021-03-10
Stone Hill School,Cranston,Fewer than five,10 to 14,0,0,virtual,2021-03-10
Western Hills Middle School,Cranston,0,35 to 39,0,Fewer than five,virtual,2021-03-10
William R. Dutemple School,Cranston,0,5 to 9,0,0,virtual,2021-03-10
Woodridge School,Cranston,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Ashton School,Cumberland,0,5 to 9,0,Fewer than five,virtual,2021-03-10
B.F. Norton Elementary School,Cumberland,0,5 to 9,0,0,virtual,2021-03-10
Community School,Cumberland,0,10 to 14,0,0,virtual,2021-03-10
Cumberland High School,Cumberland,Fewer than five,60 to 64,0,Fewer than five,virtual,2021-03-10
Garvin Memorial School,Cumberland,0,15 to 19,0,0,virtual,2021-03-10
John J. McLaughlin Cumberland Hill School,Cumberland,Fewer than five,5 to 9,0,0,virtual,2021-03-10
Joseph L. McCourt Middle School,Cumberland,0,10 to 14,0,0,virtual,2021-03-10
North Cumberland Middle School,Cumberland,0,5 to 9,0,0,virtual,2021-03-10
Wm. M. Davies Jr. Career-Technical High School,Davies Career and Tech,Fewer than five,15 to 19,0,0,virtual,2021-03-10
Archie R. Cole Middle School,East Greenwich,0,5 to 9,0,Fewer than five,virtual,2021-03-10
East Greenwich High School,East Greenwich,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Frenchtown School,East Greenwich,0,Fewer than five,0,0,virtual,2021-03-10
George Hanaford School,East Greenwich,0,Fewer than five,0,0,virtual,2021-03-10
Meadowbrook Farms School,East Greenwich,0,Fewer than five,0,0,virtual,2021-03-10
Agnes B. Hennessey School,East Providence,0,10 to 14,0,0,virtual,2021-03-10
Alice M. Waddington School,East Providence,0,5 to 9,0,Fewer than five,virtual,2021-03-10
East Providence High School,East Providence,0,70 to 74,0,5 to 9,virtual,2021-03-10
Edward R. Martin Middle School,East Providence,0,15 to 19,0,Fewer than five,virtual,2021-03-10
Edward R. Martin Middle School Annex,East Providence,0,Fewer than five,0,0,virtual,2021-03-10
Emma G. Whiteknact School,East Providence,0,5 to 9,0,0,virtual,2021-03-10
Kent Heights School,East Providence,0,5 to 9,0,0,virtual,2021-03-10
Myron J. Francis Elementary School,East Providence,0,5 to 9,0,0,virtual,2021-03-10
Orlo Avenue School,East Providence,Fewer than five,10 to 14,0,0,virtual,2021-03-10
Riverside Middle School,East Providence,0,20 to 24,0,Fewer than five,virtual,2021-03-10
Silver Spring School,East Providence,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Exeter-West Greenwich Regional High School,Exeter-West Greenwich,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Exeter-West Greenwich Regional Junior High,Exeter-West Greenwich,0,Fewer than five,0,0,virtual,2021-03-10
Metcalf School,Exeter-West Greenwich,Fewer than five,5 to 9,0,0,virtual,2021-03-10
Wawaloam School,Exeter-West Greenwich,0,Fewer than five,0,0,virtual,2021-03-10
Captain Isaac Paine Elementary School,Foster,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Ponaganset High School,Foster-Glocester,0,25 to 29,0,Fewer than five,virtual,2021-03-10
Ponaganset Middle School,Foster-Glocester,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Fogarty Memorial School,Glocester,0,5 to 9,0,0,virtual,2021-03-10
West Glocester Elementary,Glocester,0,Fewer than five,Fewer than five,Fewer than five,virtual,2021-03-10
Highlander Elementary Charter School,Highlander,0,15 to 19,0,Fewer than five,virtual,2021-03-10
Highlander Secondary Charter School,Highlander,0,25 to 29,0,0,virtual,2021-03-10
International Charter School,International Charter,0,10 to 14,Fewer than five,Fewer than five,virtual,2021-03-10
Jamestown School-Lawn,Jamestown,0,Fewer than five,0,0,virtual,2021-03-10
Jamestown School-Melrose,Jamestown,0,Fewer than five,0,0,virtual,2021-03-10
Brown Avenue School,Johnston,0,5 to 9,0,0,virtual,2021-03-10
Early Childhood Center,Johnston,0,Fewer than five,0,0,virtual,2021-03-10
Graniteville School,Johnston,0,0,0,Fewer than five,virtual,2021-03-10
Johnston Senior High School,Johnston,Fewer than five,45 to 49,0,Fewer than five,virtual,2021-03-10
Nicholas A. Ferri Middle School,Johnston,0,20 to 24,0,0,virtual,2021-03-10
Sarah Dyer Barnes School,Johnston,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Thornton School,Johnston,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Winsor Hill School,Johnston,0,5 to 9,0,0,virtual,2021-03-10
The Learning Community Charter School,Learning Community,0,35 to 39,0,5 to 9,virtual,2021-03-10
Lincoln Central Elementary School,Lincoln,0,Fewer than five,0,0,virtual,2021-03-10
Lincoln Middle School,Lincoln,0,15 to 19,0,0,virtual,2021-03-10
Lincoln Senior High School,Lincoln,Fewer than five,40 to 44,0,Fewer than five,virtual,2021-03-10
Lonsdale Elementary School,Lincoln,0,Fewer than five,0,0,virtual,2021-03-10
Northern Lincoln Elementary School,Lincoln,Fewer than five,10 to 14,0,0,virtual,2021-03-10
Saylesville Elementary School,Lincoln,0,10 to 14,0,0,virtual,2021-03-10
Metropolitan Regional Career and Technical Center,MET Career and Tech,0,40 to 44,0,Fewer than five,virtual,2021-03-10
Aquidneck Elementary School,Middletown,0,Fewer than five,0,0,virtual,2021-03-10
Forest Avenue School,Middletown,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Joseph H. Gaudet Middle School,Middletown,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Middletown High School,Middletown,0,20 to 24,0,Fewer than five,virtual,2021-03-10
Narragansett Elementary School,Narragansett,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Narragansett High School,Narragansett,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-03-10
Narragansett Pier School,Narragansett,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Block Island School,New Shoreham,0,Fewer than five,0,0,virtual,2021-03-10
Claiborne Pell Elementary School,Newport,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Frank E. Thompson Middle School,Newport,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-03-10
Rogers High School,Newport,Fewer than five,25 to 29,0,Fewer than five,virtual,2021-03-10
Davisville Academy,North Kingstown,0,Fewer than five,0,0,virtual,2021-03-10
Davisville Middle School,North Kingstown,0,0,0,Fewer than five,virtual,2021-03-10
Fishing Cove Elementary School,North Kingstown,0,5 to 9,0,0,virtual,2021-03-10
Forest Park Elementary School,North Kingstown,0,Fewer than five,0,0,virtual,2021-03-10
Hamilton Elementary School,North Kingstown,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
North Kingstown Senior High School,North Kingstown,0,35 to 39,0,0,virtual,2021-03-10
Stony Lane Elementary School,North Kingstown,0,Fewer than five,0,0,virtual,2021-03-10
Wickford Middle School,North Kingstown,0,Fewer than five,0,0,virtual,2021-03-10
Birchwood Middle School,North Providence,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Centredale School,North Providence,0,5 to 9,0,0,virtual,2021-03-10
Dr. Edward A. Ricci Middle School,North Providence,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Dr. Joseph A Whelan Elementary School,North Providence,0,Fewer than five,0,0,virtual,2021-03-10
Greystone School,North Providence,0,Fewer than five,0,0,virtual,2021-03-10
James L. McGuire School,North Providence,0,5 to 9,0,0,virtual,2021-03-10
North Providence High School,North Providence,Fewer than five,45 to 49,0,0,virtual,2021-03-10
Stephen Olney School,North Providence,0,10 to 14,0,0,virtual,2021-03-10
North Smithfield Elementary School,North Smithfield,Fewer than five,5 to 9,0,0,virtual,2021-03-10
North Smithfield High School,North Smithfield,0,15 to 19,0,0,virtual,2021-03-10
North Smithfield Middle School,North Smithfield,0,10 to 14,0,0,virtual,2021-03-10
Northern RI Collaborative,Northern RI Collaborative,0,0,0,Fewer than five,virtual,2021-03-10
Paul Cuffee Lower School,Paul Cuffee Charter Sch,0,10 to 14,0,0,virtual,2021-03-10
Paul Cuffee Middle School,Paul Cuffee Charter Sch,0,5 to 9,0,0,virtual,2021-03-10
Paul Cuffee Upper School,Paul Cuffee Charter Sch,0,15 to 19,0,0,virtual,2021-03-10
Agnes E. Little School,Pawtucket,0,10 to 14,0,0,virtual,2021-03-10
Charles E. Shea High School,Pawtucket,Fewer than five,65 to 69,0,5 to 9,virtual,2021-03-10
Curvin-McCabe School,Pawtucket,0,15 to 19,0,Fewer than five,virtual,2021-03-10
Elizabeth Baldwin School,Pawtucket,0,20 to 24,0,Fewer than five,virtual,2021-03-10
Fallon Memorial School,Pawtucket,0,20 to 24,0,Fewer than five,virtual,2021-03-10
Flora S. Curtis Memorial School,Pawtucket,0,5 to 9,0,0,virtual,2021-03-10
Francis J. Varieur School,Pawtucket,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Henry J. Winters School,Pawtucket,0,15 to 19,0,0,virtual,2021-03-10
Jacqueline M. Walsh School for the Performing and Visual Arts,Pawtucket,0,15 to 19,0,0,virtual,2021-03-10
Joseph Jenks Middle School,Pawtucket,0,40 to 44,0,5 to 9,virtual,2021-03-10
Lyman B. Goff Middle School,Pawtucket,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-03-10
M. Virginia Cunningham School,Pawtucket,0,10 to 14,0,Fewer than five,virtual,2021-03-10
Nathanael Greene Elementary School (Pawtucket),Pawtucket,0,20 to 24,0,Fewer than five,virtual,2021-03-10
Potter-Burns School,Pawtucket,0,15 to 19,0,Fewer than five,virtual,2021-03-10
Rhode Island Alternative Academy,Pawtucket,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Samuel Slater Middle School,Pawtucket,0,40 to 44,0,0,virtual,2021-03-10
William E Tolman Senior High School,Pawtucket,Fewer than five,50 to 54,0,Fewer than five,virtual,2021-03-10
Howard Hathaway School,Portsmouth,0,5 to 9,0,0,virtual,2021-03-10
Melville Elementary School,Portsmouth,0,Fewer than five,0,0,virtual,2021-03-10
Portsmouth High School,Portsmouth,Fewer than five,30 to 34,0,0,virtual,2021-03-10
Portsmouth Middle School,Portsmouth,0,5 to 9,0,Fewer than five,virtual,2021-03-10
Bradley School North,Private Schools,0,Fewer than five,0,0,virtual,2021-03-10
"CHILD, Inc., Centerville Road",Private Schools,0,0,0,Fewer than five,virtual,2021-03-10
Community Preparatory School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-03-10
Cornerstone School,Private Schools,0,Fewer than five,0,0,virtual,2021-03-10
Day Spring Christian Academy,Private Schools,0,0,0,Fewer than five,virtual,2021-03-10
East Side Nursery School,Private Schools,0,0,0,Fewer than five,virtual,2021-03-10
Eleanor Briggs School,Private Schools,0,0,0,Fewer than five,virtual,2021-03-10
Greenville Nursery School,Private Schools,0,Fewer than five,0,0,virtual,2021-03-10
Harmony Hill School,Private Schools,0,Fewer than five,0,0,virtual,2021-03-10
Henry Barnard School,Private Schools,0,Fewer than five,0,0,virtual,2021-03-10
High Road School of Providence,Private Schools,0,Fewer than five,0,0,virtual,2021-03-10
Hope Street School,Private Schools,0,0,0,Fewer than five,virtual,2021-03-10
Kid's Kingdom,Private Schools,0,Fewer than five,0,0,virtual,2021-03-10
